DIP:18E	DIP:634N			S06119	85054	DIP:243N			A49426	627246	8906794	Immunoprecipitation
DIP:19659E	DIP:17061N				24643447	DIP:17106N		Q8INW0		28574352	14605208	Two hybrid test
DIP:19660E	DIP:17245N				24642561	DIP:17106N		Q8INW0		28574352	14605208	Two hybrid test
DIP:19661E	DIP:17824N				24649103	DIP:17823N				19922300	14605208	Two hybrid test
DIP:19662E	DIP:17065N				28572129	DIP:17823N				19922300	14605208	Two hybrid test
DIP:19663E	DIP:17377N				24640007	DIP:17823N				19922300	14605208	Two hybrid test
DIP:19664E	DIP:17825N				24638894	DIP:17823N				19922300	14605208	Two hybrid test
DIP:19665E	DIP:17826N				24642261	DIP:17764N				21357995	14605208	Two hybrid test
DIP:19666E	DIP:17117N				24643702	DIP:17764N				21357995	14605208	Two hybrid test
DIP:19667E	DIP:17827N				24650208	DIP:17764N				21357995	14605208	Two hybrid test
DIP:19668E	DIP:17083N				19920688	DIP:17764N				21357995	14605208	Two hybrid test
DIP:19669E	DIP:17180N		P48149	S33498	17975567	DIP:17764N				21357995	14605208	Two hybrid test
DIP:19670E	DIP:17828N				28574383	DIP:17764N				21357995	14605208	Two hybrid test
DIP:19671E	DIP:17829N				24583305	DIP:17764N				21357995	14605208	Two hybrid test
DIP:19672E	DIP:17830N				24943076	DIP:17764N				21357995	14605208	Two hybrid test
DIP:19673E	DIP:17831N				24583394	DIP:17764N				21357995	14605208	Two hybrid test
DIP:19674E	DIP:17832N				24664627	DIP:17764N				21357995	14605208	Two hybrid test
DIP:19675E	DIP:17833N				24659237	DIP:17764N				21357995	14605208	Two hybrid test
DIP:19676E	DIP:17834N				24655577	DIP:17764N				21357995	14605208	Two hybrid test
DIP:19677E	DIP:17835N				19921598	DIP:17764N				21357995	14605208	Two hybrid test
DIP:19678E	DIP:17836N				24649183	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19679E	DIP:17837N				24640430	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19680E	DIP:17121N				24642134	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19681E	DIP:17083N				19920688	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19682E	DIP:17838N				24642303	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19683E	DIP:17839N				24583485	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19684E	DIP:17051N				24663462	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19685E	DIP:17840N				18858095	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19686E	DIP:17841N				24649473	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19687E	DIP:17842N		Q9GU68		19922878	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19688E	DIP:17843N				24642214	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19689E	DIP:17844N				17647343	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19690E	DIP:17186N				24581484	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19691E	DIP:17089N				17933736	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19692E	DIP:17351N				24642517	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19693E	DIP:17845N				17647891	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19694E	DIP:17670N				24584828	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19695E	DIP:17846N		Q03017		17136840	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19696E	DIP:17847N				17933692	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19697E	DIP:17833N				24659237	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19698E	DIP:17815N				21358129	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19699E	DIP:17416N				24651173	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19700E	DIP:17848N				19921814	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19701E	DIP:17193N				24652930	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19702E	DIP:17581N				20129901	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19703E	DIP:17849N				21357547	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19704E	DIP:17850N				24584043	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19705E	DIP:17552N				21355383	DIP:17290N				17352479	14605208	Two hybrid test
DIP:19706E	DIP:17852N				19920936	DIP:17851N				17137444	14605208	Two hybrid test
DIP:19707E	DIP:17423N		P15330		24584826	DIP:17851N				17137444	14605208	Two hybrid test
DIP:19708E	DIP:17815N				21358129	DIP:17851N				17137444	14605208	Two hybrid test
DIP:19709E	DIP:17854N				24668309	DIP:17853N				24644609	14605208	Two hybrid test
DIP:19710E	DIP:17855N			T13738	20128907	DIP:17853N				24644609	14605208	Two hybrid test
DIP:19711E	DIP:17467N				17137696	DIP:17853N				24644609	14605208	Two hybrid test
DIP:19712E	DIP:17857N				17648063	DIP:17856N				21357799	14605208	Two hybrid test
DIP:19713E	DIP:17858N		Q03334	S33684	17136832	DIP:17856N				21357799	14605208	Two hybrid test
DIP:19714E	DIP:17859N				17530857	DIP:17856N				21357799	14605208	Two hybrid test
DIP:19715E	DIP:17083N				19920688	DIP:17856N				21357799	14605208	Two hybrid test
DIP:19716E	DIP:17222N				24653350	DIP:17856N				21357799	14605208	Two hybrid test
DIP:19717E	DIP:17833N				24659237	DIP:17856N				21357799	14605208	Two hybrid test
DIP:19718E	DIP:17860N				24645148	DIP:17856N				21357799	14605208	Two hybrid test
DIP:19719E	DIP:17861N				24651935	DIP:17856N				21357799	14605208	Two hybrid test
DIP:19720E	DIP:17862N				24645515	DIP:17856N				21357799	14605208	Two hybrid test
DIP:19721E	DIP:17864N				21355163	DIP:17863N				24644599	14605208	Two hybrid test
DIP:19722E	DIP:17866N				24654975	DIP:17865N				24647326	14605208	Two hybrid test
DIP:19724E	DIP:17868N				17737503	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19725E	DIP:17869N				20130399	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19726E	DIP:17870N				24653005	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19727E	DIP:17871N				24639086	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19728E	DIP:17872N		Q9W0W6		19922962	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19729E	DIP:17873N				24583043	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19730E	DIP:17351N				24642517	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19731E	DIP:17091N				21357211	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19732E	DIP:17874N		Q9VJD2		19921462	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19733E	DIP:17450N				24663043	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19734E	DIP:17875N				17137642	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19735E	DIP:17059N				20130085	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19736E	DIP:17876N				24655341	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19737E	DIP:17299N				17136732	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19738E	DIP:17527N				24653791	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19739E	DIP:17877N		P39736	A56575	24640727	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19740E	DIP:17878N				19920604	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19741E	DIP:17879N		Q9VQQ9		19920648	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19742E	DIP:17880N				24642523	DIP:17867N		P19109		24644479	14605208	Two hybrid test
DIP:19743E	DIP:17882N				24655824	DIP:17881N				28573199	14605208	Two hybrid test
DIP:19744E	DIP:17883N				21357897	DIP:17881N				28573199	14605208	Two hybrid test
DIP:19745E	DIP:17884N				21355365	DIP:17881N				28573199	14605208	Two hybrid test
DIP:19746E	DIP:17189N				28574406	DIP:17881N				28573199	14605208	Two hybrid test
DIP:19747E	DIP:17885N				24665661	DIP:17881N				28573199	14605208	Two hybrid test
DIP:19748E	DIP:17359N				24582212	DIP:17886N				24644493	14605208	Two hybrid test
DIP:19749E	DIP:17888N				21356151	DIP:17887N		Q05913	S30237	17737791	14605208	Two hybrid test
DIP:19750E	DIP:17446N				24662518	DIP:17889N				20129587	14605208	Two hybrid test
DIP:19751E	DIP:17890N				24584767	DIP:17889N				20129587	14605208	Two hybrid test
DIP:19752E	DIP:17891N				28574638	DIP:17889N				20129587	14605208	Two hybrid test
DIP:19753E	DIP:17892N				24642950	DIP:17889N				20129587	14605208	Two hybrid test
DIP:19754E	DIP:17894N				24667211	DIP:17893N				24644504	14605208	Two hybrid test
DIP:19755E	DIP:17895N		P08970		17737957	DIP:17893N				24644504	14605208	Two hybrid test
DIP:19756E	DIP:17897N				24663336	DIP:17896N				24659210	14605208	Two hybrid test
DIP:19757E	DIP:17898N				24644207	DIP:17896N				24659210	14605208	Two hybrid test
DIP:19758E	DIP:17899N				28574527	DIP:17896N				24659210	14605208	Two hybrid test
DIP:19759E	DIP:17231N				18858161	DIP:17896N				24659210	14605208	Two hybrid test
DIP:19760E	DIP:17900N				17136412	DIP:17896N				24659210	14605208	Two hybrid test
DIP:19761E	DIP:17902N				24585132	DIP:17901N				24648896	14605208	Two hybrid test
DIP:19762E	DIP:17903N				24645585	DIP:17901N				24648896	14605208	Two hybrid test
DIP:19763E	DIP:17112N				24652101	DIP:17901N				24648896	14605208	Two hybrid test
DIP:19764E	DIP:17367N				24665583	DIP:17901N				24648896	14605208	Two hybrid test
DIP:19765E	DIP:17904N				19920406	DIP:17901N				24648896	14605208	Two hybrid test
DIP:19766E	DIP:17905N				24762738	DIP:17901N				24648896	14605208	Two hybrid test
DIP:19767E	DIP:17055N				24650771	DIP:17901N				24648896	14605208	Two hybrid test
DIP:19768E	DIP:17056N				21357743	DIP:17901N				24648896	14605208	Two hybrid test
DIP:19769E	DIP:17906N		Q24093		24581365	DIP:17901N				24648896	14605208	Two hybrid test
DIP:19770E	DIP:17624N				24658567	DIP:17901N				24648896	14605208	Two hybrid test
DIP:19771E	DIP:17091N				21357211	DIP:17901N				24648896	14605208	Two hybrid test
DIP:19772E	DIP:17117N				24643702	DIP:17209N				17864254	14605208	Two hybrid test
DIP:19773E	DIP:17907N		Q9VPS5		17864606	DIP:17209N				17864254	14605208	Two hybrid test
DIP:19774E	DIP:17833N				24659237	DIP:17209N				17864254	14605208	Two hybrid test
DIP:19775E	DIP:17908N				24646498	DIP:17209N				17864254	14605208	Two hybrid test
DIP:19776E	DIP:17910N				24647251	DIP:17909N				24644576	14605208	Two hybrid test
DIP:19777E	DIP:17911N				21357797	DIP:17909N				24644576	14605208	Two hybrid test
DIP:19778E	DIP:17913N				24668321	DIP:17912N				24649385	14605208	Two hybrid test
DIP:19779E	DIP:17914N		O44783		24656839	DIP:17912N				24649385	14605208	Two hybrid test
DIP:19780E	DIP:17777N				24643578	DIP:17915N				24649383	14605208	Two hybrid test
DIP:19781E	DIP:17916N		Q9V3P0		17157991	DIP:17915N				24649383	14605208	Two hybrid test
DIP:19782E	DIP:17681N		P48603		17136938	DIP:17917N				24584970	14605208	Two hybrid test
DIP:19783E	DIP:17918N				24667917	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19784E	DIP:17919N				24585372	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19785E	DIP:17920N				24582283	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19786E	DIP:17921N		Q8T0S6		19922606	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19787E	DIP:17922N				24657782	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19788E	DIP:17923N				19920376	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19789E	DIP:17924N				24658772	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19790E	DIP:17421N				24762594	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19791E	DIP:17925N				24662044	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19792E	DIP:17926N				21356895	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19793E	DIP:17179N				20129579	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19794E	DIP:17927N				24651660	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19795E	DIP:17928N				24640460	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19796E	DIP:17123N				24639885	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19797E	DIP:17929N				24652897	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19798E	DIP:17373N				24640510	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19799E	DIP:17666N				18859825	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19800E	DIP:17930N				17136854	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19801E	DIP:17931N				24762726	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19802E	DIP:17143N				30923655	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19803E	DIP:17932N				17137002	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19804E	DIP:17167N				17647523	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19805E	DIP:17933N				24580815	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19806E	DIP:17934N				24648207	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19807E	DIP:17935N				28574933	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19808E	DIP:17386N				24650435	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19809E	DIP:17423N		P15330		24584826	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19810E	DIP:17278N				24666323	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19811E	DIP:17438N		P00528		24657868	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19812E	DIP:17936N				19921856	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19813E	DIP:17937N				22024124	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19814E	DIP:17938N				28573590	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19815E	DIP:17939N				24654325	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19816E	DIP:17512N				24642543	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19817E	DIP:17940N				21357761	DIP:17487N		P13008	R3FF26	17647893	14605208	Two hybrid test
DIP:19818E	DIP:17942N				21356739	DIP:17941N		Q9W2D9		19922704	14605208	Two hybrid test
DIP:19819E	DIP:17943N				24650814	DIP:17941N		Q9W2D9		19922704	14605208	Two hybrid test
DIP:19820E	DIP:17944N				21955276	DIP:17941N		Q9W2D9		19922704	14605208	Two hybrid test
DIP:19821E	DIP:17336N				21358039	DIP:17941N		Q9W2D9		19922704	14605208	Two hybrid test
DIP:19822E	DIP:17945N		Q9W4E2		24639816	DIP:17941N		Q9W2D9		19922704	14605208	Two hybrid test
DIP:19823E	DIP:17947N				24665297	DIP:17946N				24656859	14605208	Two hybrid test
DIP:19824E	DIP:17388N				24646440	DIP:17946N				24656859	14605208	Two hybrid test
DIP:19825E	DIP:17949N				28571519	DIP:17948N				21355663	14605208	Two hybrid test
DIP:19826E	DIP:17950N				24582106	DIP:17948N				21355663	14605208	Two hybrid test
DIP:19827E	DIP:17923N				19920376	DIP:17444N				19922816	14605208	Two hybrid test
DIP:19828E	DIP:17651N				18543295	DIP:17444N				19922816	14605208	Two hybrid test
DIP:19829E	DIP:17951N				22023983	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19830E	DIP:17952N				21357677	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19831E	DIP:17218N		O97067		24644665	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19832E	DIP:17953N				24652045	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19833E	DIP:17954N				24656168	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19834E	DIP:17955N				24643497	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19835E	DIP:17956N				21355631	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19836E	DIP:17957N				24667322	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19837E	DIP:17958N				21355667	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19838E	DIP:17959N		Q9V564		24652068	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19839E	DIP:17960N				28574150	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19840E	DIP:17961N				21355331	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19841E	DIP:17962N				24647609	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19842E	DIP:17963N				24647648	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19843E	DIP:17964N				19921362	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19844E	DIP:17965N				24642645	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19845E	DIP:17966N				24639609	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19846E	DIP:17353N				24650348	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19847E	DIP:17354N				24650346	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19848E	DIP:17967N		Q8MSS1		17933552	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19849E	DIP:17157N				24662048	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19850E	DIP:17968N				24668405	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19851E	DIP:17268N		O46036		24646446	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19852E	DIP:17969N		P07487		17933600	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19853E	DIP:17970N		P29742	S52588	17137000	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19854E	DIP:17971N				21356121	DIP:17583N				24657218	14605208	Two hybrid test
DIP:19855E	DIP:17826N				24642261	DIP:17972N				24657160	14605208	Two hybrid test
DIP:19856E	DIP:17973N				17986069	DIP:17972N				24657160	14605208	Two hybrid test
DIP:19857E	DIP:17974N				24639172	DIP:17972N				24657160	14605208	Two hybrid test
DIP:19858E	DIP:17975N				24655406	DIP:17972N				24657160	14605208	Two hybrid test
DIP:19859E	DIP:17976N				28573481	DIP:17972N				24657160	14605208	Two hybrid test
DIP:19860E	DIP:17978N				19921526	DIP:17977N				24647508	14605208	Two hybrid test
DIP:19861E	DIP:17979N				19920866	DIP:17977N				24647508	14605208	Two hybrid test
DIP:19862E	DIP:17980N				24663664	DIP:17977N				24647508	14605208	Two hybrid test
DIP:19863E	DIP:17981N				24650714	DIP:17977N				24647508	14605208	Two hybrid test
DIP:19864E	DIP:17434N				24655153	DIP:17977N				24647508	14605208	Two hybrid test
DIP:19865E	DIP:17982N				24639017	DIP:17977N				24647508	14605208	Two hybrid test
DIP:19866E	DIP:17983N				28571660	DIP:17977N				24647508	14605208	Two hybrid test
DIP:19867E	DIP:17984N				17137528	DIP:17977N				24647508	14605208	Two hybrid test
DIP:19868E	DIP:17985N				21355677	DIP:17977N				24647508	14605208	Two hybrid test
DIP:19869E	DIP:17986N				18859889	DIP:17977N				24647508	14605208	Two hybrid test
DIP:19870E	DIP:17425N				24666524	DIP:17977N				24647508	14605208	Two hybrid test
DIP:19871E	DIP:17445N				24651671	DIP:17987N		P29555		24647534	14605208	Two hybrid test
DIP:19872E	DIP:17989N				24641493	DIP:17988N		Q9VES1		21355475	14605208	Two hybrid test
DIP:19873E	DIP:17283N				24643715	DIP:17988N		Q9VES1		21355475	14605208	Two hybrid test
DIP:19874E	DIP:17990N				24661136	DIP:17988N		Q9VES1		21355475	14605208	Two hybrid test
DIP:19876E	DIP:17522N				23397621	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19877E	DIP:17992N				24640527	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19878E	DIP:17993N				24641555	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19879E	DIP:17175N				24638766	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19880E	DIP:17592N				24641831	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19881E	DIP:17994N				24640959	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19882E	DIP:17995N				24585873	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19883E	DIP:17996N				24642808	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19884E	DIP:17997N				24585240	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19885E	DIP:17523N				24583067	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19886E	DIP:17998N				24657590	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19887E	DIP:17999N				24582065	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19888E	DIP:18000N				22024206	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19889E	DIP:18001N				24640704	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19890E	DIP:18002N		P32100		24583248	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19891E	DIP:18003N				19921140	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19892E	DIP:17122N				24583929	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19893E	DIP:18004N				24641134	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19894E	DIP:17929N				24652897	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19895E	DIP:18005N				18858057	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19896E	DIP:18006N				24581339	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19897E	DIP:17050N				30923613	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19898E	DIP:18007N				24638591	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19899E	DIP:18008N				24641148	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19900E	DIP:17434N				24655153	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19901E	DIP:18009N				24640971	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19902E	DIP:18010N				24640975	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19903E	DIP:18011N				19922000	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19904E	DIP:17254N				24639715	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19905E	DIP:18012N				24657819	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19906E	DIP:18013N				24583873	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19907E	DIP:17623N				24580513	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19908E	DIP:18014N				28558739	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19909E	DIP:17624N				24658567	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19910E	DIP:18015N				24642465	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19911E	DIP:17350N				24641689	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19912E	DIP:17580N				24663246	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19913E	DIP:17105N		P52295	A57319	17136998	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19914E	DIP:17631N				24665229	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19915E	DIP:18016N				24645909	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19916E	DIP:18017N				24650342	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19917E	DIP:17336N				21358039	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19918E	DIP:18018N				21357969	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19919E	DIP:18019N				24650168	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19920E	DIP:18020N		Q9XTM1		21355171	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19921E	DIP:18021N				24649175	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19922E	DIP:18022N				24663188	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19923E	DIP:17633N				24667258	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19924E	DIP:17169N		O18640		17137396	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19925E	DIP:18023N				17136294	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19926E	DIP:18024N				24647759	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19927E	DIP:17528N				24651939	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19928E	DIP:18025N				21356727	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19929E	DIP:18026N				24659755	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19930E	DIP:18027N				21356575	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19931E	DIP:18028N				21356595	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19932E	DIP:17638N				20428641	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19933E	DIP:18029N				24656431	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19934E	DIP:17468N				19922620	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19935E	DIP:17356N				22024283	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19936E	DIP:18030N				24582088	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19937E	DIP:17391N				24655741	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19938E	DIP:17744N		P22058	A33821	24645272	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19939E	DIP:18031N				24644064	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19940E	DIP:18032N				17864210	DIP:17991N				17137616	14605208	Two hybrid test
DIP:19941E	DIP:18034N				20129157	DIP:18033N				17981735	14605208	Two hybrid test
DIP:19942E	DIP:18035N				24649025	DIP:18033N				17981735	14605208	Two hybrid test
DIP:19943E	DIP:18036N				21356973	DIP:18033N				17981735	14605208	Two hybrid test
DIP:19944E	DIP:18038N				24584729	DIP:18037N		Q01083	A44074	17136798	14605208	Two hybrid test
DIP:19945E	DIP:18039N				28571885	DIP:18037N		Q01083	A44074	17136798	14605208	Two hybrid test
DIP:19947E	DIP:18041N		Q9VN97		24644167	DIP:18040N				21358291	14605208	Two hybrid test
DIP:19948E	DIP:18042N				28571955	DIP:18040N				21358291	14605208	Two hybrid test
DIP:19949E	DIP:18044N				24657504	DIP:18043N				24585013	14605208	Two hybrid test
DIP:19950E	DIP:18045N				24582598	DIP:18043N				24585013	14605208	Two hybrid test
DIP:19951E	DIP:18047N				24583557	DIP:18046N				24762554	14605208	Two hybrid test
DIP:19952E	DIP:17770N				24582294	DIP:17097N				28573207	14605208	Two hybrid test
DIP:19953E	DIP:17047N		Q9VAN0		21356589	DIP:17097N				28573207	14605208	Two hybrid test
DIP:19954E	DIP:18048N				24666749	DIP:17097N				28573207	14605208	Two hybrid test
DIP:19955E	DIP:18049N				24666737	DIP:17097N				28573207	14605208	Two hybrid test
DIP:19956E	DIP:18050N				24666753	DIP:17097N				28573207	14605208	Two hybrid test
DIP:19957E	DIP:17523N				24583067	DIP:17097N				28573207	14605208	Two hybrid test
DIP:19958E	DIP:18051N				24652268	DIP:17097N				28573207	14605208	Two hybrid test
DIP:19959E	DIP:18052N				19920344	DIP:17097N				28573207	14605208	Two hybrid test
DIP:19960E	DIP:18053N				17737805	DIP:17097N				28573207	14605208	Two hybrid test
DIP:19961E	DIP:18054N				21357019	DIP:17097N				28573207	14605208	Two hybrid test
