DIP:18E	DIP:634N			S06119	85054	DIP:243N			A49426	627246	8906794	Immunoprecipitation
DIP:379E	DIP:722N		Q01071	A46177	24650220	DIP:723N		Q01070		24650222	9371806	Two hybrid test
DIP:380E	DIP:721N		Q01069		24650224	DIP:626N		P13097	S03626	17981745	9371806	Two hybrid test
DIP:381E	DIP:723N		Q01070		24650222	DIP:626N		P13097	S03626	17981745	9371806	Two hybrid test
DIP:382E	DIP:627N		P13096	S03629	17738211	DIP:626N		P13097	S03626	17981745	9371806	Two hybrid test
DIP:383E	DIP:722N		Q01071	A46177	24650220	DIP:626N		P13097	S03626	17981745	9371806	Two hybrid test
DIP:384E	DIP:751N		Q07291	S36038	422419	DIP:626N		P13097	S03626	17981745	9371806	Two hybrid test
DIP:385E	DIP:151N		P48987	A40708	476802	DIP:626N		P13097	S03626	17981745	9371806	Two hybrid test
DIP:386E	DIP:627N		P13096	S03629	17738211	DIP:627N		P13096	S03629	17738211	9371806	Two hybrid test
DIP:387E	DIP:751N		Q07291	S36038	422419	DIP:627N		P13096	S03629	17738211	9371806	Two hybrid test
DIP:388E	DIP:722N		Q01071	A46177	24650220	DIP:627N		P13096	S03629	17738211	9371806	Two hybrid test
DIP:390E	DIP:722N		Q01071	A46177	24650220	DIP:751N		Q07291	S36038	422419	9371806	Two hybrid test
DIP:391E	DIP:721N		Q01069		24650224	DIP:356N		Q01068	D46177	24650229	9371806	Two hybrid test
DIP:392E	DIP:723N		Q01070		24650222	DIP:356N		Q01068	D46177	24650229	9371806	Two hybrid test
DIP:393E	DIP:627N		P13096	S03629	17738211	DIP:356N		Q01068	D46177	24650229	9371806	Two hybrid test
DIP:394E	DIP:151N		P48987	A40708	476802	DIP:356N		Q01068	D46177	24650229	9371806	Two hybrid test
DIP:395E	DIP:722N		Q01071	A46177	24650220	DIP:722N		Q01071	A46177	24650220	9371806	Two hybrid test
DIP:449E	DIP:50N		P11420	A31641	17137250	DIP:455N			I53100	2143442	7791788	Two hybrid test
DIP:666E	DIP:158N		P34021	A41055	24585970	DIP:645N		P20153	T13737	17136580	7644522	Two hybrid test
DIP:667E	DIP:929N		P49869	S58238	2133651	DIP:645N		P20153	T13737	17136580	7644522	Gel filtration chromatography
DIP:668E	DIP:927N		P49870	S58205	2133605	DIP:645N		P20153	T13737	17136580	7644522	Gel filtration chromatography
DIP:669E	DIP:517N			JQ0623	92529	DIP:645N		P20153	T13737	17136580	7644522	Two hybrid test
DIP:670E	DIP:158N		P34021	A41055	24585970	DIP:788N		P49700	S44490	1078991	7644522	Two hybrid test
DIP:671E	DIP:929N		P49869	S58238	2133651	DIP:788N		P49700	S44490	1078991	7644522	Two hybrid test
DIP:674E	DIP:158N		P34021	A41055	24585970	DIP:641N		P19793	S09592	88556	7644522	Two hybrid test
DIP:675E	DIP:929N		P49869	S58238	2133651	DIP:641N		P19793	S09592	88556	7644522	Two hybrid test
DIP:699E	DIP:5N		P07207	A24420	85085	DIP:171N			A42267	482342	8749394	Two hybrid test
DIP:700E	DIP:214N		Q01705	A46019	423521	DIP:177N		P28159	A42770	17136726	8749394	Two hybrid test
DIP:701E	DIP:5N		P07207	A24420	85085	DIP:177N		P28159	A42770	17136726	15710747	Two hybrid test
DIP:814E	DIP:115N		P25028	A38436	24639404	DIP:115N		P25028	A38436	24639404	9418866	Immunoprecipitation
DIP:1008E	DIP:649N		Q9TX74	S12009	17136606	DIP:102N		P33551	A36670	105620	7809159	Two hybrid test
DIP:1009E	DIP:648N		P23573	S12007	17738075	DIP:102N		P33551	A36670	105620	7809159	Two hybrid test
DIP:1341E	DIP:5N		P07207	A24420	85085	DIP:1139N		O02194		17737687	10077672	Immunoprecipitation
DIP:1365E	DIP:1159N		Q27387		141618	DIP:1159N		Q27387		141618	8491197	Genetic
DIP:3497E	DIP:2663N		P08928		17136290	DIP:2663N		P08928		17136290	8776884	Immunoprecipitation
DIP:18883E	DIP:17046N				24644797	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18884E	DIP:17047N		Q9VAN0		21356589	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18885E	DIP:17048N		P08182		18104935	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18886E	DIP:17049N				21358569	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18887E	DIP:17050N				30923613	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18888E	DIP:17051N				24663462	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18889E	DIP:17052N		Q01644	S25774	17737807	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18890E	DIP:17053N		Q01642	S25772	17737809	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18891E	DIP:17054N				24586371	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18892E	DIP:17055N				24650771	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18893E	DIP:17056N				21357743	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18894E	DIP:17057N				24584547	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18895E	DIP:17058N				24649859	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18896E	DIP:17059N				20130085	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18897E	DIP:17060N				21355975	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18898E	DIP:17061N				24643447	DIP:17045N		P14734	A32380	17738265	14605208	Two hybrid test
DIP:18899E	DIP:17063N				24586396	DIP:17062N				21356787	14605208	Two hybrid test
DIP:18900E	DIP:17064N				24643777	DIP:17062N				21356787	14605208	Two hybrid test
DIP:18901E	DIP:17065N				28572129	DIP:17062N				21356787	14605208	Two hybrid test
DIP:18902E	DIP:17067N				24644093	DIP:17066N				24650829	14605208	Two hybrid test
