LOC35306	LOC35054	;rtGEF;38C.40;DrtGEF;RhoGEF;rhoGEF;CG10043;CT28235;CT28279;DrhoGEF;Rho/RacGEF;	;fws;Cog5;CG6549;CT20403;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC41503	LOC36648	;GstD1;GST;Gst;GST1;Gst1;G-S-T;GST-1;GSTD1;gstD1;DmGST1;DmGst1;GST1-1;GSTase;GSt1-1;Gst1-1;Gst1.1;CG10045;CT28269;DmGST-1;DmGSTD1;gst-D1-1;DmGSTD1-1;	;CG10200;CT28697;CT43064;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC41503	LOC34570	;GstD1;GST;Gst;GST1;Gst1;G-S-T;GST-1;GSTD1;gstD1;DmGST1;DmGst1;GST1-1;GSTase;GSt1-1;Gst1-1;Gst1.1;CG10045;CT28269;DmGST-1;DmGSTD1;gst-D1-1;DmGSTD1-1;	;sala;sal;nsal;spalt;CG4922;CT15718;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40876	LOC38113	;SytIV;SYT4;Syt4;sytIV;CT8401;CG10047;	;CG9205;CT26302;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC37222	LOC40946	;CG10051;CT28245;	;CG2767;CT9417;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC37222	LOC39074	;CG10051;CT28245;	;CG4461;CT14516;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40871	LOC43120	;CG10053;CT28289;	;CG14354;CT33989;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40860	LOC34434	;MAGE;CG10059;CT28313;	;CG13142;CT32382;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40859	LOC36645	;CG10061;CT28319;	;BEAF-32;BEAF;BEAF32A;CG10159;CT28573;CT43062;BEAF-32A;BEAF-32B;bs04c01.y1;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40859	LOC44532	;CG10061;CT28319;	;rl;ERK;Erk;Sem;rll;DERK;ERKA;ERKa;Erk1;ErkA;MAPK;Mapk;mapk;D-ERK;DmErk;Dsor2;EK2-1;ERK-A;EY2-2;SR2-1;dpERK;DERK-A;DmERKA;DmMAPK;dpMAPK;CG12559;CT34260;CT39192;DmERK-A;GroupII;rl/MAPK;E(sina)7;l(2)41Ac;Su(Raf)2B;MAP kinase;Sevenmaker;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40859	LOC31647	;CG10061;CT28319;	;cm;Mu3;mu3;AP-3;Dmu3;CG3035;CT9443;cg3035;CG32731;CT40093;l(1)VEM119;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40859	LOC41602	;CG10061;CT28319;	;CtBP;G9;dCtBP;256/16;CG7583;l(3)G9;0256/16;CT23129;CT36671;RE01030;RE61183;l(3)87De;EP(3)3528;l(3)03463;l(3)03464;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40859	LOC32921	;CG10061;CT28319;	;CG8010;CT24056;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC37427	LOC33117	;CG10069;CT28347;	;slgA;sl;slg;tu3;EE85;PRODH;CG1417;CT3344;CT30603;CT30635;CT30657;sluggish-A;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38091	LOC37187	;emc;Ach;Emc;gov;CG1007;CT1010;Dm0688;0094/26;0203/10;0587/01;0977/09;l(3)04322;l(3)05592;l(3)j4E11;ms(3)61CD;	;prod;PROD;Prod;CG18608;CT34982;CT42563;l(2)88/10;l(2)k08810;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38091	LOC31397	;emc;Ach;Emc;gov;CG1007;CT1010;Dm0688;0094/26;0203/10;0587/01;0977/09;l(3)04322;l(3)05592;l(3)j4E11;ms(3)61CD;	;HLH4C;CG3052;CT10268;DroNHLH;EG:84H4.2;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38091	LOC30982	;emc;Ach;Emc;gov;CG1007;CT1010;Dm0688;0094/26;0203/10;0587/01;0977/09;l(3)04322;l(3)05592;l(3)j4E11;ms(3)61CD;	;sc;Hw;Sc;T4;sisB;sisb;ascT4;sc/T4;sis-b;CG3827;CT12777;DROACS2;l(1)1Ba;scalpha;EG:198A6.1;Hairy-wing;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC37430	LOC41118	;RpL29;DL43;RpL43;CG10071;CT28349;	;Fps85D;FPS;Fer;fer;fps;DFER;DFer;Dfer;Dfps;dFer;dfps;CG8874;HD-179;fps85D;CT25482;CT37271;dfps85D;DmHD-179;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC37225	LOC33155	;CG10073;CT28295;	;CG11023;CT9573;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38758	LOC33949	;CG10075;CT28355;	;CG11322;CT31603;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC45931	LOC33096	;spir;Spir;38C.34;38C.37;CG10076;CG18621;CT28309;CT30607;l(2)08327;p150-Spir;	;CG14579;CT34314;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC45931	LOC35731	;spir;Spir;38C.34;38C.37;CG10076;CG18621;CT28309;CT30607;l(2)08327;p150-Spir;	;sax;Sax;STK-B;Bkr43E;Brk43E;CG1891;CT5838;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC45931	LOC44801	;spir;Spir;38C.34;38C.37;CG10076;CG18621;CT28309;CT30607;l(2)08327;p150-Spir;	;bsk;JNK;DJNK;Junk;dJNK;D-JNK;SAPKa;CG5680;D-junk;CT17924;CT40896;DBSK/JNK;DJNK/bsk;JNK/SAPK;Jun-kinase;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38753	LOC33539	;Prat2;CG10078;CT28363;CT42444;	;CG3332;CT11189;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38753	LOC34354	;Prat2;CG10078;CT28363;CT42444;	;CG5734;CT18028;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC37455	LOC43003	;Egfr;El;DER;Der;Egf;Elp;flb;top;EGFR;EGFr;EgfR;egfr;C-erb;D-Egf;Degfr;EGF-R;EK2-6;Egf-r;Elp-1;HD-33;dEGFR;D-EGFR;Elp-B1;c-erbB;dEGFR1;CG10079;CT28361;DER/top;DmHD-33;Ellipse;Torpedo;top/DER;top/flb;torpedo;DER/EGFR;l(2)57Ea;Elp-B1RB1;l(2)05351;l(2)09261;l(2)57EFa;l(2)57DEFa;	;veli;CG7662;D-veli;CT23375;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC37462	LOC34585	;CG10080;CT28367;	;CG4983;CT15981;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC35235	LOC35788	;CG10084;CT28371;	;Pabp2;ROX2;Rox2;rox2;pAbp2;CG2163;CT7068;dpabII;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40920	LOC33123	;CG10086;CT28379;	;CG10918;CT30567;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40920	LOC39987	;CG10086;CT28379;	;CG5546;CT17568;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40920	LOC35091	;CG10086;CT28379;	;CG7180;R-PTPk;CT22157;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40920	LOC36571	;CG10086;CT28379;	;cg;mig;CG8367;CT24629;CT43070;l(2)07659;l(2)k11504;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38750	LOC38375	;CG10103;CT28439;	;CG12082;CT5452;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38750	LOC32611	;CG10103;CT28439;	;Traf3;CG4394;CT14143;CT14155;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38750	LOC32777	;CG10103;CT28439;	;CG6842;CT21193;BcDNA:GH02678;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36606	LOC39885	;phyl;SR2-3;CG10108;CT28451;Su(Raf)2C;	;CG13030;CT32248;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36606	LOC36059	;phyl;SR2-3;CG10108;CT28451;Su(Raf)2C;	;14-3-3zeta;2G1;549;leo;14-3-3;CG17870;CT39744;CT39748;D14-3-3;l(2)07103;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36606	LOC48317	;phyl;SR2-3;CG10108;CT28451;Su(Raf)2C;	;ttk;Ttk;osn;oss;ovs;3540;5125;5311;TTK88;Ttk69;ttk69;CG1856;CT5673;FTZ-F2;ftz-f2;schmal;ttkp69;0037/17;0250/25;0438/31;0702/07;1049/07;1119/04;1184/16;1209/05;1209/10;1260/10;1281/04;1325/15;1372/08;1396/14;1418/06;CG11558;CT36466;CT36468;CT36470;l(3)j2A1;l(3)j7B8;ftzf2/ttk;l(3)02667;E(yan)100D;ttk/FTZ-F2;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36606	LOC38812	;phyl;SR2-3;CG10108;CT28451;Su(Raf)2C;	;CG8598;CT14502;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36606	LOC39884	;phyl;SR2-3;CG10108;CT28451;Su(Raf)2C;	;sina;sia;CG9949;CT28005;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC44831	LOC34250	;L;CG10109;CT28455;l(2)02637;	;Cks;CDI2;Cdi2;cdi2;CG3738;DmCks1;CT12495;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC44831	LOC40257	;L;CG10109;CT28455;l(2)02637;	;CG5274;CT16833;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36613	LOC41082	;CG10112;CT28465;	;CG11984;CT32121;CT40844;CT40846;CT40848;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38746	LOC39987	;ple;TH;Th;DTH;VII;Pale;DH65B;dTH65B;CG10118;CT28477;	;CG5546;CT17568;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC41579	LOC35971	;CG10126;CT28495;	;ced-6;CG11804;CT33506;CT43170;drced-6;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC41579	LOC31208	;CG10126;CT28495;	;crn;N5;N10;l30;yok;RC63;CDC16;l(1)2;CG3193;l(1)N7;CT10256;l(1)2Fa;l(1)CRN;l(1)crn;EG:30B8.1;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36619	LOC43415	;tra2;Tra2;TRA-2;tra-2;CG10128;CT28507;	;Doa;DOA;Msu;doa;CG1658;CT4592;CT36957;DOA/CLK2;l(3)01705;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36619	LOC41294	;tra2;Tra2;TRA-2;tra-2;CG10128;CT28507;	;Rbp1;RBP1;RRM1;rbp1;rrm1;Rbp-1;CG17136;CT38058;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC35241	LOC36760	;CG10137;CT28521;	;ATPCL;CG8322;CT18257;DmATPCL;l(2)01466;l(2)k09217;n(2)k09217;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC44148	LOC50441	;PpD5;D5;CG10138;CT10817;PP1-like;	;CG18666;CT42597;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36626	LOC36626	;CG10139;CT28533;	;CG10139;CT28533;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36626	LOC39252	;CG10139;CT28533;	;CG11799;CT36907;CT40382;CT40384;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36626	LOC36111	;CG10139;CT28533;	;CG17765;CT7494;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36626	LOC41547	;CG10139;CT28533;	;hug;CG6371;CT19888;Drm-MT2;Drm-PK-2;huggamma;pyrokinin;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36626	LOC48973	;CG10139;CT28533;	;Src64B;Src;src;DSrc;Dsrc;Src1;dSrc;dsrc;src1;D-src;Src64;c-src;src64;C-src1;CG7524;CT1253;DSRC64;DSrc64;Dsrc64;HD-358;CT40878;DSrc64B;Dsrc64B;DmHD-358;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36626	LOC43570	;CG10139;CT28533;	;Sry-beta;sry;sryb;sry-b;CG7938;CT5812;Srybeta;srybeta;sry-beta;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38170	LOC35438	;robl62A;CG1014;CT1028;	;CG10834;CT30343;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38170	LOC37135	;robl62A;CG1014;CT1028;	;CG10927;CT30612;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38735	LOC37790	;CG10144;CT28519;	;CG11183;CT31248;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36638	LOC35759	;Rpn6;p42B;CG10149;CT28555;CT41765;Pros44.5;l(2)k00103;	;CSN4;CH4;Csn4;DCH4;Dch4;csn4;Cops4;CG8725;CT9624;l(2)k08018;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36639	LOC33408	;CG10151;CT28561;	;CG4270;CT11353;CT37757;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36641	LOC39769	;CG10153;CT28563;	;CG5161;CT16525;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36641	LOC33016	;CG10153;CT28563;	;CG9577;CT17498;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC39509	LOC32456	;CG10154;CT28537;	;CG15032;CT34894;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC39509	LOC37152	;CG10154;CT28537;	;CG15072;CT34947;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC39509	LOC39361	;CG10154;CT28537;	;CG17824;CT39558;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36643	LOC48969	;CG10155;CT28569;	;ms(3)K81;ph;K81;CG14251;CT33871;ms(3)k81;ms(3)97Dg;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC42788	LOC41518	;CG10157;CT28567;	;CG17227;CT38191;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC42788	LOC43535	;CG10157;CT28567;	;CG31038;CG15512;CT35625;CT40751;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC33971	LOC49935	;CG10158;CT28557;	;CG17494;CT38677;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36645	LOC36645	;BEAF-32;BEAF;BEAF32A;CG10159;CT28573;CT43062;BEAF-32A;BEAF-32B;bs04c01.y1;	;BEAF-32;BEAF;BEAF32A;CG10159;CT28573;CT43062;BEAF-32A;BEAF-32B;bs04c01.y1;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36645	LOC53566	;BEAF-32;BEAF;BEAF32A;CG10159;CT28573;CT43062;BEAF-32A;BEAF-32B;bs04c01.y1;	;katanin-60;CG10229;CT28759;DmCG10229;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36645	LOC35162	;BEAF-32;BEAF;BEAF32A;CG10159;CT28573;CT43062;BEAF-32A;BEAF-32B;bs04c01.y1;	;CG10650;CT29808;BEST:GH09876;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36645	LOC48440	;BEAF-32;BEAF;BEAF32A;CG10159;CT28573;CT43062;BEAF-32A;BEAF-32B;bs04c01.y1;	;CG31672;CG4248;n(2)k09932;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36645	LOC318331	;BEAF-32;BEAF;BEAF32A;CG10159;CT28573;CT43062;BEAF-32A;BEAF-32B;bs04c01.y1;	;CG40105;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC45880	LOC39740	;ImpL3;LDH;Ldh;dmLDH;IMP-L3;Imp-L3;CG10160;CT28577;lactic DH;	;CG17029;IMP;CT37791;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC42789	LOC32042	;eIF-3p66;CG10161;CT28571;GM04979;GM10514;eIF3-S7;	;CG2061;CT6696;BcDNA:LD28247;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC42777	LOC48312	;CG10164;CT28591;	;RpII18;H5;Dm6;polII;CG1163;CT2047;RpABC14;RNApolII;RNA Pol II;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC42777	LOC30977	;CG10164;CT28591;	;CG12470;CT32706;EG:BACR37P7.5;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC42777	LOC33408	;CG10164;CT28591;	;CG4270;CT11353;CT37757;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC42777	LOC41952	;CG10164;CT28591;	;msps;CG5000;CT16014;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC42777	LOC41597	;CG10164;CT28591;	;CG7488;CT23005;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38256	LOC38478	;CG1017;CT1020;	;CG1135;CT1834;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38256	LOC35787	;CG1017;CT1020;	;CG11508;CT34560;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38256	LOC35955	;CG1017;CT1020;	;Rep2;Drep2;drep2;CG1975;CT6211;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38256	LOC35934	;CG1017;CT1020;	;CG30342;CG8054;CT8096;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38256	LOC36292	;CG1017;CT1020;	;Rep3;Drep3;drep3;CG8364;CG13187;CT24643;CT32428;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38727	LOC39535	;Best2;dbest2;CG10173;CT28609;	;CG8833;CT25382;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC35101	LOC31799	;CG10174;CT28605;	;CG12081;CT5450;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC35101	LOC41168	;CG10174;CT28605;	;Scm;SCM;CG9495;CT26890;Su(z)302;l(3)85Ef;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC35103	LOC43003	;CG10176;CT28619;	;veli;CG7662;D-veli;CT23375;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC42772	LOC43823	;CG10177;CT28615;MLCK-like;	;Arf102F;ARF2;ARFII;dARFII;CG11027;CT30867;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38726	LOC32306	;Mdr65;CG10181;CT28637;	;CG15753;CT36005;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC38726	LOC44097	;Mdr65;CG10181;CT28637;	;sns;SNS;rost;43-49;sns20;CG2385;CG8278;CT7962;CT7966;CG12495;CG13752;CG13753;CG13754;CG13755;CG18464;CG33141;CT33229;CT33230;CT33231;CT33232;CT33233;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC35234	LOC33961	;CG10189;CT28673;	;CG10806;CT30280;serine protease;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40849	LOC35298	;Mlp84B;CG1019;CT1058;CT1082;DLim-3;mlp84B;DmLIM-3;Mlmu84B;dMlp84B;	;CG10722;CT30053;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40849	LOC40509	;Mlp84B;CG1019;CT1058;CT1082;DLim-3;mlp84B;DmLIM-3;Mlmu84B;dMlp84B;	;Ssl1;SSL1;CG11115;CT31091;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40849	LOC37510	;Mlp84B;CG1019;CT1058;CT1082;DLim-3;mlp84B;DmLIM-3;Mlmu84B;dMlp84B;	;CG13501;CT32869;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40849	LOC31879	;Mlp84B;CG1019;CT1058;CT1082;DLim-3;mlp84B;DmLIM-3;Mlmu84B;dMlp84B;	;CG17440;CT35398;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40849	LOC42651	;Mlp84B;CG1019;CT1058;CT1082;DLim-3;mlp84B;DmLIM-3;Mlmu84B;dMlp84B;	;CG7046;CT21791;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40849	LOC38540	;Mlp84B;CG1019;CT1058;CT1082;DLim-3;mlp84B;DmLIM-3;Mlmu84B;dMlp84B;	;CG7447;N-like;CT22877;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC40849	LOC33013	;Mlp84B;CG1019;CT1058;CT1082;DLim-3;mlp84B;DmLIM-3;Mlmu84B;dMlp84B;	;CG9572;CT17356;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC35228	LOC34042	;CG10195;CT28685;	;CG7025;CT21646;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC42816	LOC38631	;Nup98;CG10198;CT28683;CT28696;l(3)95BCd;	;Cyp307a1;307a1;CG10594;CT29702;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36650	LOC36425	;CG10205;CT28709;	;CG17019;CT37784;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36650	LOC36532	;CG10205;CT28709;	;CG6357;CT19866;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC33966	LOC31256	;nop5;2/30;Dnop5;CG10206;CT28625;l(2)k00230;	;eIF2B-beta;CG2677;CT9073;eIF2Bbeta;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC33966	LOC37624	;nop5;2/30;Dnop5;CG10206;CT28625;l(2)k00230;	;CG9825;CT27766;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36651	LOC37434	;NaPi-T;Dropo;CG10207;CT28711;	;CG9754;CT27569;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC42814	LOC39956	;CG10208;CT28701;	;CG7564;CT23137;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36652	LOC36652	;CG10209;CT28719;	;CG10209;CT28719;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36652	LOC33123	;CG10209;CT28719;	;CG10918;CT30567;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36652	LOC43724	;CG10209;CT28719;	;CycG;dCycG;CG11525;CT35376;CT36405;CT36409;CT36413;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36652	LOC50026	;CG10209;CT28719;	;CG14374;CT34013;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
LOC36652	LOC35076	;CG10209;CT28719;	;CG15150;CT35049;	Two Hybrid (High Confidence)	Giot et al	AB	;14605208;
