BINDID	MolNameA	MolTypeA	GIA	GeneA	TaxName	MolNameB	MolTypeB	GIB	GeneB	TaxName	PMIDs
182406	Cos2	protein	17137092	35653	Drosophila melanogaster	Fu	protein	17137760	32855	Drosophila melanogaster	14611647
182571	RBF1 dREAM	complex	0	0	Drosophila melanogaster	H4	protein	24585675	318846	Drosophila melanogaster	15479636
182572	RBF2 dREAM	complex	0	0	Drosophila melanogaster	H4	protein	24585675	318846	Drosophila melanogaster	15479636
183332	CycE	protein	17136874	34924	Drosophila melanogaster	Rux	protein	24640031	31535	Drosophila melanogaster	14613974
183333	CycE	protein	17136874	34924	Drosophila melanogaster	dap	protein	0	36001	Drosophila melanogaster	14613974
183334	cdc2c	protein	24648495	42453	Drosophila melanogaster	Cks	protein	17136850	34250	Drosophila melanogaster	14613974
183335	cdc2c	protein	24648495	42453	Drosophila melanogaster	CycD	protein	17647293	32551	Drosophila melanogaster	14613974
183336	cdc2	protein	17136606	34411	Drosophila melanogaster	CycE	protein	17136874	34924	Drosophila melanogaster	14613974
183337	CG33456	protein	45552677	2768848	Drosophila melanogaster	CycD	protein	17647293	32551	Drosophila melanogaster	14613974
183338	cdc2c	protein	24648495	42453	Drosophila melanogaster	CycJ	protein	0	38428	Drosophila melanogaster	14613974
183339	cdc2c	protein	24648495	42453	Drosophila melanogaster	CG3689	protein	21355361	39083	Drosophila melanogaster	14613974
183451	cdc2	protein	17136606	34411	Drosophila melanogaster	CycD	protein	17647293	32551	Drosophila melanogaster	14613974
183452	bcd	protein	0	40830	Drosophila melanogaster	CycD	protein	17647293	32551	Drosophila melanogaster	14613974
183453	Cdk4	protein	24654197	36854	Drosophila melanogaster	CycD	protein	17647293	32551	Drosophila melanogaster	14613974
183454	Cdk5	protein	17137070	36727	Drosophila melanogaster	CycD	protein	17647293	32551	Drosophila melanogaster	14613974
183455	Arf84F	protein	17136754	40993	Drosophila melanogaster	CycD	protein	17647293	32551	Drosophila melanogaster	14613974
183456	bcd	protein	0	40830	Drosophila melanogaster	CycJ	protein	0	38428	Drosophila melanogaster	14613974
183457	Rux	protein	24640031	31535	Drosophila melanogaster	CycJ	protein	0	38428	Drosophila melanogaster	14613974
183458	Cdc37	protein	17136940	38232	Drosophila melanogaster	CycJ	protein	0	38428	Drosophila melanogaster	14613974
183459	Arf84F	protein	17136754	40993	Drosophila melanogaster	CycJ	protein	0	38428	Drosophila melanogaster	14613974
183479	bsk	protein	24583285	44801	Drosophila melanogaster	hep	protein	0	32256	Drosophila melanogaster	11912189
183480	Aplip1	protein	0	53472	Drosophila melanogaster	Aplip1	protein	0	53472	Drosophila melanogaster	11912189
183566	Ato	protein	24645007	40975	Drosophila melanogaster	Pnt-P1	protein	0	42757	Drosophila melanogaster	15525530
183567	Ato/Da-ato-RE complex	complex	0	0	Drosophila melanogaster	Pnt-P1	protein	0	42757	Drosophila melanogaster	15525530
