BINDID	MolNameA	MolTypeA	GIA	GeneA	TaxName	MolNameB	MolTypeB	GIB	GeneB	TaxName	PMIDs
31322	CG12992	protein	45549577	0	Drosophila melanogaster	CG8417	protein	21356061	0	Drosophila melanogaster	14605208
31323	CG12992	protein	45549577	0	Drosophila melanogaster	Lcp2	protein	17136298	0	Drosophila melanogaster	14605208
31324	CG12994	protein	24642792	0	Drosophila melanogaster	BG:BACR48E02.3	protein	24584148	0	Drosophila melanogaster	14605208
31325	CG12995	protein	24642746	0	Drosophila melanogaster	CG13434	protein	19922640	0	Drosophila melanogaster	14605208
31326	CG12995	protein	24642746	0	Drosophila melanogaster	CG15080	protein	24655245	0	Drosophila melanogaster	14605208
31327	CG12995	protein	24642746	0	Drosophila melanogaster	CG15578	protein	24639657	0	Drosophila melanogaster	14605208
31328	CG12995	protein	24642746	0	Drosophila melanogaster	Dys	protein	24648203	0	Drosophila melanogaster	14605208
31329	CG12997	protein	24642756	0	Drosophila melanogaster	BG:DS00797.5	protein	28574150	0	Drosophila melanogaster	14605208
31330	CG13001	protein	24642691	0	Drosophila melanogaster	HLH4C	protein	24639715	0	Drosophila melanogaster	14605208
31331	CG13001	protein	24642691	0	Drosophila melanogaster	CG3308	not specified	0	0	Drosophila melanogaster	14605208
31332	CG13001	protein	24642691	0	Drosophila melanogaster	CG4813	protein	21355715	0	Drosophila melanogaster	14605208
31333	CG13001	protein	24642691	0	Drosophila melanogaster	CG6276	protein	45550753	0	Drosophila melanogaster	14605208
31334	CG13001	protein	24642691	0	Drosophila melanogaster	CG7172	protein	21358081	0	Drosophila melanogaster	14605208
31335	CG13001	protein	24642691	0	Drosophila melanogaster	CG8780	protein	24666901	0	Drosophila melanogaster	14605208
31336	CG13004	protein	24642672	0	Drosophila melanogaster	CG13167	protein	20129907	0	Drosophila melanogaster	14605208
31337	CG13005	protein	24642662	0	Drosophila melanogaster	CG13526	protein	20130261	0	Drosophila melanogaster	14605208
31338	CG13005	protein	24642662	0	Drosophila melanogaster	CG14145	protein	24662431	0	Drosophila melanogaster	14605208
31339	CG13005	protein	24642662	0	Drosophila melanogaster	CG14868	protein	24647143	0	Drosophila melanogaster	14605208
31340	CG13005	protein	24642662	0	Drosophila melanogaster	CG14931	protein	24583724	0	Drosophila melanogaster	14605208
31341	CG13005	protein	24642662	0	Drosophila melanogaster	CG15634	protein	19920692	0	Drosophila melanogaster	14605208
31342	CG13005	protein	24642662	0	Drosophila melanogaster	CG33017	protein	28573466	0	Drosophila melanogaster	14605208
31343	CG13005	protein	24642662	0	Drosophila melanogaster	scu	protein	17737361	0	Drosophila melanogaster	14605208
31344	CG13005	protein	24642662	0	Drosophila melanogaster	CG7911	protein	24651247	0	Drosophila melanogaster	14605208
31345	CG13005	protein	24642662	0	Drosophila melanogaster	CG8173	protein	18859929	0	Drosophila melanogaster	14605208
31346	CG13022	protein	24665657	0	Drosophila melanogaster	CG13067	protein	24665132	0	Drosophila melanogaster	14605208
31347	CG13022	protein	24665657	0	Drosophila melanogaster	Mer	protein	17647629	0	Drosophila melanogaster	14605208
31348	CG13022	protein	24665657	0	Drosophila melanogaster	CG15099	protein	24655307	0	Drosophila melanogaster	14605208
31349	CG13022	protein	24665657	0	Drosophila melanogaster	ena	protein	24655480	0	Drosophila melanogaster	14605208
31350	CG13022	protein	24665657	0	Drosophila melanogaster	CG17018	protein	45551016	0	Drosophila melanogaster	14605208
31351	CG13022	protein	24665657	0	Drosophila melanogaster	CG17265	protein	24581314	0	Drosophila melanogaster	14605208
31352	CG13022	protein	24665657	0	Drosophila melanogaster	Act87E	protein	24646579	0	Drosophila melanogaster	14605208
31353	CG13022	protein	24665657	0	Drosophila melanogaster	CG18584	protein	28573278	0	Drosophila melanogaster	14605208
31354	CG13022	protein	24665657	0	Drosophila melanogaster	HLH4C	protein	24639715	0	Drosophila melanogaster	14605208
31355	CG13022	protein	24665657	0	Drosophila melanogaster	dx	protein	24640145	0	Drosophila melanogaster	14605208
31356	CG13022	protein	24665657	0	Drosophila melanogaster	Hsc70-4	not specified	0	0	Drosophila melanogaster	14605208
31357	CG13022	protein	24665657	0	Drosophila melanogaster	f	protein	28571236	0	Drosophila melanogaster	14605208
31358	CG13022	protein	24665657	0	Drosophila melanogaster	CG5933	protein	21355141	0	Drosophila melanogaster	14605208
31359	CG13022	protein	24665657	0	Drosophila melanogaster	Sulf1	protein	24647401	0	Drosophila melanogaster	14605208
31360	CG13022	protein	24665657	0	Drosophila melanogaster	mts	protein	17136620	0	Drosophila melanogaster	14605208
31361	CG13022	protein	24665657	0	Drosophila melanogaster	CG7725	not specified	0	0	Drosophila melanogaster	14605208
31362	CG13022	protein	24665657	0	Drosophila melanogaster	sima	protein	24651293	0	Drosophila melanogaster	14605208
31363	CG13022	protein	24665657	0	Drosophila melanogaster	BEST:LD14959	protein	23397399	0	Drosophila melanogaster	14605208
31364	CG13022	protein	24665657	0	Drosophila melanogaster	CG9396	protein	24645419	0	Drosophila melanogaster	14605208
31365	CG13023	protein	24665626	0	Drosophila melanogaster	CG13868	protein	24656163	0	Drosophila melanogaster	14605208
31366	CG13023	protein	24665626	0	Drosophila melanogaster	CLIP-190	protein	45552035	0	Drosophila melanogaster	14605208
31367	CG13029	protein	24665591	0	Drosophila melanogaster	CG9986	protein	21357761	0	Drosophila melanogaster	14605208
31368	CG13030	protein	24665583	0	Drosophila melanogaster	CG13032	protein	24665469	0	Drosophila melanogaster	14605208
31369	CG13030	protein	24665583	0	Drosophila melanogaster	CG13040	protein	24665205	0	Drosophila melanogaster	14605208
31370	CG13030	protein	24665583	0	Drosophila melanogaster	CG13285	protein	24658375	0	Drosophila melanogaster	14605208
31371	CG13030	protein	24665583	0	Drosophila melanogaster	Crtp	protein	17864328	0	Drosophila melanogaster	14605208
31372	CG13030	protein	24665583	0	Drosophila melanogaster	CG14125	protein	24663047	0	Drosophila melanogaster	14605208
31373	CG13030	protein	24665583	0	Drosophila melanogaster	CG14643	protein	21356221	0	Drosophila melanogaster	14605208
31374	CG13030	protein	24665583	0	Drosophila melanogaster	CG14712	protein	21356627	0	Drosophila melanogaster	14605208
31375	CG13030	protein	24665583	0	Drosophila melanogaster	CG15071	protein	24655170	0	Drosophila melanogaster	14605208
31376	CG13030	protein	24665583	0	Drosophila melanogaster	CG15308	protein	24640973	0	Drosophila melanogaster	14605208
31377	CG13030	protein	24665583	0	Drosophila melanogaster	Ca-alpha1T	protein	24640054	0	Drosophila melanogaster	14605208
31378	CG13030	protein	24665583	0	Drosophila melanogaster	Ant2	protein	28571364	0	Drosophila melanogaster	14605208
31379	CG13030	protein	24665583	0	Drosophila melanogaster	CG17265	protein	24581314	0	Drosophila melanogaster	14605208
31380	CG13030	protein	24665583	0	Drosophila melanogaster	CG17323	protein	19921502	0	Drosophila melanogaster	14605208
31381	CG13030	protein	24665583	0	Drosophila melanogaster	CG17826	protein	24663027	0	Drosophila melanogaster	14605208
31382	CG13030	protein	24665583	0	Drosophila melanogaster	14-3-3zeta	protein	28573324	0	Drosophila melanogaster	14605208
31383	CG13030	protein	24665583	0	Drosophila melanogaster	CG18004	protein	45551072	0	Drosophila melanogaster	14605208
31384	CG13030	protein	24665583	0	Drosophila melanogaster	ttk	protein	45549269	0	Drosophila melanogaster	14605208
31385	CG13030	protein	24665583	0	Drosophila melanogaster	Hsp70Aa	protein	24646137	0	Drosophila melanogaster	14605208
31386	CG13030	protein	24665583	0	Drosophila melanogaster	CG1965	protein	24644714	0	Drosophila melanogaster	14605208
31387	CG13030	protein	24665583	0	Drosophila melanogaster	CG2147	protein	18858075	0	Drosophila melanogaster	14605208
31388	CG13030	protein	24665583	0	Drosophila melanogaster	Socs44A	protein	17647945	0	Drosophila melanogaster	14605208
31389	CG13030	protein	24665583	0	Drosophila melanogaster	Fer1HCH	protein	24651362	0	Drosophila melanogaster	14605208
31390	CG13030	protein	24665583	0	Drosophila melanogaster	CG3020	protein	24664399	0	Drosophila melanogaster	14605208
31391	CG13030	protein	24665583	0	Drosophila melanogaster	CG31160	protein	24649007	0	Drosophila melanogaster	14605208
31392	CG13030	protein	24665583	0	Drosophila melanogaster	CG31258	protein	24645091	0	Drosophila melanogaster	14605208
31393	CG13030	protein	24665583	0	Drosophila melanogaster	CG31374	protein	28573089	0	Drosophila melanogaster	14605208
31394	CG13030	protein	24665583	0	Drosophila melanogaster	ImpE1	protein	24660876	0	Drosophila melanogaster	14605208
31395	CG13030	protein	24665583	0	Drosophila melanogaster	CG33169	protein	28574749	0	Drosophila melanogaster	14605208
31396	CG13030	protein	24665583	0	Drosophila melanogaster	CG3358	protein	24586117	0	Drosophila melanogaster	14605208
31397	CG13030	protein	24665583	0	Drosophila melanogaster	CycB	protein	24658593	0	Drosophila melanogaster	14605208
31398	CG13030	protein	24665583	0	Drosophila melanogaster	okr	protein	17136368	0	Drosophila melanogaster	14605208
31399	CG13030	protein	24665583	0	Drosophila melanogaster	l(2)k16918	protein	28574023	0	Drosophila melanogaster	14605208
31400	CG13030	protein	24665583	0	Drosophila melanogaster	aru	protein	24580737	0	Drosophila melanogaster	14605208
31401	CG13030	protein	24665583	0	Drosophila melanogaster	CG4282	protein	28573467	0	Drosophila melanogaster	14605208
31402	CG13030	protein	24665583	0	Drosophila melanogaster	IFa	protein	22026959	0	Drosophila melanogaster	14605208
31403	CG13030	protein	24665583	0	Drosophila melanogaster	cnn	protein	24653385	0	Drosophila melanogaster	14605208
31404	CG13030	protein	24665583	0	Drosophila melanogaster	BG:DS04095.3	protein	24584547	0	Drosophila melanogaster	14605208
31405	CG13030	protein	24665583	0	Drosophila melanogaster	CG5111	protein	24650084	0	Drosophila melanogaster	14605208
31406	CG13030	protein	24665583	0	Drosophila melanogaster	SC35	protein	21358099	0	Drosophila melanogaster	14605208
31407	CG13030	protein	24665583	0	Drosophila melanogaster	CG5933	protein	21355141	0	Drosophila melanogaster	14605208
31408	CG13030	protein	24665583	0	Drosophila melanogaster	slou	protein	17136362	0	Drosophila melanogaster	14605208
31409	CG13030	protein	24665583	0	Drosophila melanogaster	fau	protein	24645759	0	Drosophila melanogaster	14605208
31410	CG13030	protein	24665583	0	Drosophila melanogaster	CG6652	protein	45551579	0	Drosophila melanogaster	14605208
31411	CG13030	protein	24665583	0	Drosophila melanogaster	CG7224	protein	20129345	0	Drosophila melanogaster	14605208
31412	CG13030	protein	24665583	0	Drosophila melanogaster	CG7417	protein	24655577	0	Drosophila melanogaster	14605208
31413	CG13030	protein	24665583	0	Drosophila melanogaster	CG7447	protein	28574318	0	Drosophila melanogaster	14605208
31414	CG13030	protein	24665583	0	Drosophila melanogaster	CG7752	protein	24667974	0	Drosophila melanogaster	14605208
31415	CG13030	protein	24665583	0	Drosophila melanogaster	CG8301	protein	21355909	0	Drosophila melanogaster	14605208
31416	CG13030	protein	24665583	0	Drosophila melanogaster	cg	protein	24653568	0	Drosophila melanogaster	14605208
31417	CG13030	protein	24665583	0	Drosophila melanogaster	CG8615	protein	21357009	0	Drosophila melanogaster	14605208
31418	CG13030	protein	24665583	0	Drosophila melanogaster	RpS18	protein	24656100	0	Drosophila melanogaster	14605208
31419	CG13030	protein	24665583	0	Drosophila melanogaster	CG9394	protein	19922666	0	Drosophila melanogaster	14605208
31420	CG13030	protein	24665583	0	Drosophila melanogaster	rin	protein	45551889	0	Drosophila melanogaster	14605208
31421	CG13030	protein	24665583	0	Drosophila melanogaster	CG9666	protein	28574609	0	Drosophila melanogaster	14605208
31422	CG13030	protein	24665583	0	Drosophila melanogaster	CG9715	protein	45550632	0	Drosophila melanogaster	14605208
31423	CG13031	protein	24665489	0	Drosophila melanogaster	CG5358	protein	24645553	0	Drosophila melanogaster	14605208
31424	CG13031	protein	24665489	0	Drosophila melanogaster	Rox8	protein	24649519	0	Drosophila melanogaster	14605208
31425	CG13031	protein	24665489	0	Drosophila melanogaster	CG7056	protein	24648615	0	Drosophila melanogaster	14605208
31426	CG13031	protein	24665489	0	Drosophila melanogaster	CG9192	protein	20130417	0	Drosophila melanogaster	14605208
31427	CG13032	protein	24665469	0	Drosophila melanogaster	CG13114	protein	24583067	0	Drosophila melanogaster	14605208
31428	CG13032	protein	24665469	0	Drosophila melanogaster	CG13966	protein	24585358	0	Drosophila melanogaster	14605208
31429	CG13032	protein	24665469	0	Drosophila melanogaster	Tk	protein	24646167	0	Drosophila melanogaster	14605208
31430	CG13032	protein	24665469	0	Drosophila melanogaster	CG15422	protein	24581572	0	Drosophila melanogaster	14605208
31431	CG13032	protein	24665469	0	Drosophila melanogaster	CG15764	protein	24639988	0	Drosophila melanogaster	14605208
31432	CG13032	protein	24665469	0	Drosophila melanogaster	CG17018	protein	45551016	0	Drosophila melanogaster	14605208
31433	CG13032	protein	24665469	0	Drosophila melanogaster	CG17050	protein	24653350	0	Drosophila melanogaster	14605208
31434	CG13032	protein	24665469	0	Drosophila melanogaster	CG17666	protein	24663466	0	Drosophila melanogaster	14605208
31435	CG13032	protein	24665469	0	Drosophila melanogaster	CG31638	protein	45550939	0	Drosophila melanogaster	14605208
31436	CG13032	protein	24665469	0	Drosophila melanogaster	blw	protein	24658560	0	Drosophila melanogaster	14605208
31437	CG13032	protein	24665469	0	Drosophila melanogaster	CG4617	protein	18858161	0	Drosophila melanogaster	14605208
31438	CG13032	protein	24665469	0	Drosophila melanogaster	CG4877	protein	24665297	0	Drosophila melanogaster	14605208
31439	CG13032	protein	24665469	0	Drosophila melanogaster	BcDNA:GH07485	protein	24654595	0	Drosophila melanogaster	14605208
31440	CG13032	protein	24665469	0	Drosophila melanogaster	CG5280	protein	24661300	0	Drosophila melanogaster	14605208
31441	CG13032	protein	24665469	0	Drosophila melanogaster	Prm	protein	24661124	0	Drosophila melanogaster	14605208
31442	CG13032	protein	24665469	0	Drosophila melanogaster	CG6856	protein	21357903	0	Drosophila melanogaster	14605208
31443	CG13032	protein	24665469	0	Drosophila melanogaster	CG6972	protein	24649114	0	Drosophila melanogaster	14605208
31444	CG13032	protein	24665469	0	Drosophila melanogaster	CG7757	protein	24667067	0	Drosophila melanogaster	14605208
31445	CG13040	protein	24665205	0	Drosophila melanogaster	CG13095	protein	20129385	0	Drosophila melanogaster	14605208
31446	CG13040	protein	24665205	0	Drosophila melanogaster	mm	not specified	0	0	Drosophila melanogaster	14605208
31447	CG13040	protein	24665205	0	Drosophila melanogaster	CG15422	protein	24581572	0	Drosophila melanogaster	14605208
31448	CG13040	protein	24665205	0	Drosophila melanogaster	CG30084	protein	28573805	0	Drosophila melanogaster	14605208
31449	CG13040	protein	24665205	0	Drosophila melanogaster	CG3891	protein	24661625	0	Drosophila melanogaster	14605208
31450	CG13040	protein	24665205	0	Drosophila melanogaster	bol	protein	24661394	0	Drosophila melanogaster	14605208
31451	CG13041	protein	24665193	0	Drosophila melanogaster	CG14030	protein	19920746	0	Drosophila melanogaster	14605208
31452	CG13041	protein	24665193	0	Drosophila melanogaster	CG15529	protein	21358569	0	Drosophila melanogaster	14605208
31453	CG13041	protein	24665193	0	Drosophila melanogaster	CG17377	protein	24582341	0	Drosophila melanogaster	14605208
31454	CG13041	protein	24665193	0	Drosophila melanogaster	CG33017	protein	28573466	0	Drosophila melanogaster	14605208
31455	CG13041	protein	24665193	0	Drosophila melanogaster	CG6459	protein	20130085	0	Drosophila melanogaster	14605208
31456	CG13041	protein	24665193	0	Drosophila melanogaster	Src64B	protein	24657868	0	Drosophila melanogaster	14605208
31457	CG13042	protein	24665179	0	Drosophila melanogaster	CG31038	protein	24651207	0	Drosophila melanogaster	14605208
31458	CG13043	protein	24665172	0	Drosophila melanogaster	CG14549	protein	24650248	0	Drosophila melanogaster	14605208
31459	CG13043	protein	24665172	0	Drosophila melanogaster	fd59A	protein	17647421	0	Drosophila melanogaster	14605208
31460	CG13043	protein	24665172	0	Drosophila melanogaster	CG4896	protein	45550096	0	Drosophila melanogaster	14605208
31461	CG13043	protein	24665172	0	Drosophila melanogaster	CG6353	protein	24648776	0	Drosophila melanogaster	14605208
31462	CG13043	protein	24665172	0	Drosophila melanogaster	CG6380	protein	24584798	0	Drosophila melanogaster	14605208
31463	CG13044	protein	24665169	0	Drosophila melanogaster	CG14224	protein	20129061	0	Drosophila melanogaster	14605208
31464	CG13044	protein	24665169	0	Drosophila melanogaster	CG3891	protein	24661625	0	Drosophila melanogaster	14605208
31465	CG13044	protein	24665169	0	Drosophila melanogaster	noc	protein	17136802	0	Drosophila melanogaster	14605208
31466	CG13044	protein	24665169	0	Drosophila melanogaster	CG7056	protein	24648615	0	Drosophila melanogaster	14605208
31467	CG13044	protein	24665169	0	Drosophila melanogaster	CG7338	protein	24668014	0	Drosophila melanogaster	14605208
31468	CG13045	protein	24665160	0	Drosophila melanogaster	CG13066	protein	24665135	0	Drosophila melanogaster	14605208
31469	CG13045	protein	24665160	0	Drosophila melanogaster	CG13200	protein	24652733	0	Drosophila melanogaster	14605208
31470	CG13045	protein	24665160	0	Drosophila melanogaster	CG13285	protein	24658375	0	Drosophila melanogaster	14605208
31471	CG13045	protein	24665160	0	Drosophila melanogaster	CG13731	protein	28574875	0	Drosophila melanogaster	14605208
31472	CG13045	protein	24665160	0	Drosophila melanogaster	CkIIbeta	protein	24641400	0	Drosophila melanogaster	14605208
31473	CG13045	protein	24665160	0	Drosophila melanogaster	CG17777	protein	24639301	0	Drosophila melanogaster	14605208
31474	CG13045	protein	24665160	0	Drosophila melanogaster	cnc	not specified	0	0	Drosophila melanogaster	14605208
31475	CG13045	protein	24665160	0	Drosophila melanogaster	Act87E	protein	24646579	0	Drosophila melanogaster	14605208
31476	CG13045	protein	24665160	0	Drosophila melanogaster	EG:132E8.1	not specified	0	0	Drosophila melanogaster	14605208
31477	CG13045	protein	24665160	0	Drosophila melanogaster	CG31673	protein	24585516	0	Drosophila melanogaster	14605208
31478	CG13045	protein	24665160	0	Drosophila melanogaster	CycB	not specified	0	0	Drosophila melanogaster	14605208
31479	CG13045	protein	24665160	0	Drosophila melanogaster	Pli	not specified	0	0	Drosophila melanogaster	14605208
31480	CG13045	protein	24665160	0	Drosophila melanogaster	CG6660	protein	24649164	0	Drosophila melanogaster	14605208
31481	CG13045	protein	24665160	0	Drosophila melanogaster	lark	not specified	0	0	Drosophila melanogaster	14605208
31482	CG13045	protein	24665160	0	Drosophila melanogaster	Ser4	protein	24581778	0	Drosophila melanogaster	14605208
31483	CG13045	protein	24665160	0	Drosophila melanogaster	D1	not specified	0	0	Drosophila melanogaster	14605208
31484	CG13046	protein	24665157	0	Drosophila melanogaster	CG3225	protein	19920696	0	Drosophila melanogaster	14605208
31485	CG13047	protein	24665154	0	Drosophila melanogaster	tll	protein	17864126	0	Drosophila melanogaster	14605208
31486	CG13047	protein	24665154	0	Drosophila melanogaster	CG14410	protein	45549457	0	Drosophila melanogaster	14605208
31487	CG13047	protein	24665154	0	Drosophila melanogaster	CG15884	protein	21357365	0	Drosophila melanogaster	14605208
31488	CG13047	protein	24665154	0	Drosophila melanogaster	CG31550	protein	24644250	0	Drosophila melanogaster	14605208
31489	CG13047	protein	24665154	0	Drosophila melanogaster	CG4164	protein	19920464	0	Drosophila melanogaster	14605208
31490	CG13047	protein	24665154	0	Drosophila melanogaster	noc	protein	17136802	0	Drosophila melanogaster	14605208
31491	CG13047	protein	24665154	0	Drosophila melanogaster	CG4787	protein	24650786	0	Drosophila melanogaster	14605208
31492	CG13047	protein	24665154	0	Drosophila melanogaster	Rox8	protein	24649519	0	Drosophila melanogaster	14605208
31493	CG13047	protein	24665154	0	Drosophila melanogaster	CG6240	protein	24648207	0	Drosophila melanogaster	14605208
31494	CG13047	protein	24665154	0	Drosophila melanogaster	Ela	protein	24649822	0	Drosophila melanogaster	14605208
31495	CG13049	protein	24665147	0	Drosophila melanogaster	CG15422	protein	24581572	0	Drosophila melanogaster	14605208
31496	CG13049	protein	24665147	0	Drosophila melanogaster	CG2116	protein	24640510	0	Drosophila melanogaster	14605208
31497	CG13049	protein	24665147	0	Drosophila melanogaster	mus304	protein	45549208	0	Drosophila melanogaster	14605208
31498	CG13049	protein	24665147	0	Drosophila melanogaster	BG:DS00180.10	protein	19921312	0	Drosophila melanogaster	14605208
31499	CG13050	protein	24665141	0	Drosophila melanogaster	Uro	protein	17136576	0	Drosophila melanogaster	14605208
31500	CG13050	protein	24665141	0	Drosophila melanogaster	CG9192	protein	20130417	0	Drosophila melanogaster	14605208
31501	CG13054	protein	24665109	0	Drosophila melanogaster	CG5602	protein	24762424	0	Drosophila melanogaster	14605208
31502	retinin	protein	24665221	0	Drosophila melanogaster	CG9238	protein	24664201	0	Drosophila melanogaster	14605208
31503	CG13060	protein	24665197	0	Drosophila melanogaster	CG13405	protein	24654479	0	Drosophila melanogaster	14605208
31504	CG13063	protein	24665176	0	Drosophila melanogaster	CG13840	protein	24649158	0	Drosophila melanogaster	14605208
31505	CG13063	protein	24665176	0	Drosophila melanogaster	CG14224	protein	20129061	0	Drosophila melanogaster	14605208
31506	CG13065	protein	21357343	0	Drosophila melanogaster	CG4787	protein	24650786	0	Drosophila melanogaster	14605208
31507	CG13065	protein	21357343	0	Drosophila melanogaster	CG8981	protein	24652844	0	Drosophila melanogaster	14605208
31508	CG13066	protein	24665135	0	Drosophila melanogaster	CG13200	protein	24652733	0	Drosophila melanogaster	14605208
31509	CG13066	protein	24665135	0	Drosophila melanogaster	CG13544	protein	20130277	0	Drosophila melanogaster	14605208
31510	CG13066	protein	24665135	0	Drosophila melanogaster	CG13721	protein	24657763	0	Drosophila melanogaster	14605208
31511	CG13066	protein	24665135	0	Drosophila melanogaster	CG14410	protein	45549457	0	Drosophila melanogaster	14605208
31512	CG13066	protein	24665135	0	Drosophila melanogaster	Cyp318a1	protein	24641485	0	Drosophila melanogaster	14605208
31513	CG13066	protein	24665135	0	Drosophila melanogaster	CG4164	protein	19920464	0	Drosophila melanogaster	14605208
31514	CG13066	protein	24665135	0	Drosophila melanogaster	CG6933	protein	24667258	0	Drosophila melanogaster	14605208
31515	CG13066	protein	24665135	0	Drosophila melanogaster	CG8216	protein	24651939	0	Drosophila melanogaster	14605208
31516	CG13067	protein	24665132	0	Drosophila melanogaster	CG13090	protein	24582879	0	Drosophila melanogaster	14605208
31517	CG13067	protein	24665132	0	Drosophila melanogaster	CG14119	protein	24663556	0	Drosophila melanogaster	14605208
31518	CG13067	protein	24665132	0	Drosophila melanogaster	CG14145	protein	24662431	0	Drosophila melanogaster	14605208
31519	CG13067	protein	24665132	0	Drosophila melanogaster	CG15109	protein	28573563	0	Drosophila melanogaster	14605208
31520	CG13067	protein	24665132	0	Drosophila melanogaster	CG15865	protein	24642588	0	Drosophila melanogaster	14605208
31521	CG13067	protein	24665132	0	Drosophila melanogaster	CG31550	protein	24644250	0	Drosophila melanogaster	14605208
31522	CG13067	protein	24665132	0	Drosophila melanogaster	CG32264	protein	24656943	0	Drosophila melanogaster	14605208
31523	CG13067	protein	24665132	0	Drosophila melanogaster	CG6240	protein	24648207	0	Drosophila melanogaster	14605208
31524	CG13067	protein	24665132	0	Drosophila melanogaster	CG6576	protein	24661136	0	Drosophila melanogaster	14605208
31525	CG13067	protein	24665132	0	Drosophila melanogaster	BEST:CK02422	protein	22024114	0	Drosophila melanogaster	14605208
31526	CG13067	protein	24665132	0	Drosophila melanogaster	CG9465	protein	24582926	0	Drosophila melanogaster	14605208
31527	CG13067	protein	24665132	0	Drosophila melanogaster	CG9986	protein	21357761	0	Drosophila melanogaster	14605208
31528	CG13068	protein	24665128	0	Drosophila melanogaster	CG6240	protein	24648207	0	Drosophila melanogaster	14605208
31529	BG:DS00004.12	protein	24644665	0	Drosophila melanogaster	sol	protein	45549034	0	Drosophila melanogaster	14605208
31530	BG:DS00004.12	protein	24644665	0	Drosophila melanogaster	CG15109	protein	28573563	0	Drosophila melanogaster	14605208
31531	BG:DS00004.12	protein	24644665	0	Drosophila melanogaster	CG15459	protein	24643497	0	Drosophila melanogaster	14605208
31532	BG:DS00004.12	protein	24644665	0	Drosophila melanogaster	CG15525	protein	24651238	0	Drosophila melanogaster	14605208
31533	BG:DS00004.12	protein	24644665	0	Drosophila melanogaster	Rad23	protein	24638593	0	Drosophila melanogaster	14605208
31534	BG:DS00004.12	protein	24644665	0	Drosophila melanogaster	jbug	protein	28573664	0	Drosophila melanogaster	14605208
31535	BG:DS00004.12	protein	24644665	0	Drosophila melanogaster	Mlc-c	protein	17530801	0	Drosophila melanogaster	14605208
31536	BG:DS00004.12	protein	24644665	0	Drosophila melanogaster	CG3428	protein	24661685	0	Drosophila melanogaster	14605208
31537	BG:DS00004.12	protein	24644665	0	Drosophila melanogaster	RpP1	protein	17647887	0	Drosophila melanogaster	14605208
31538	BG:DS00004.12	protein	24644665	0	Drosophila melanogaster	CG5094	protein	24584835	0	Drosophila melanogaster	14605208
31539	BG:DS00004.12	protein	24644665	0	Drosophila melanogaster	CG5327	protein	24655119	0	Drosophila melanogaster	14605208
31540	BG:DS00004.12	protein	24644665	0	Drosophila melanogaster	CG5618	protein	21356415	0	Drosophila melanogaster	14605208
31541	BG:DS00004.12	protein	24644665	0	Drosophila melanogaster	CG5721	protein	19922518	0	Drosophila melanogaster	14605208
31542	BG:DS00004.12	protein	24644665	0	Drosophila melanogaster	CG9368	protein	24666854	0	Drosophila melanogaster	14605208
31543	CG13070	protein	24665119	0	Drosophila melanogaster	CG7290	protein	24667234	0	Drosophila melanogaster	14605208
31544	PDCD-5	protein	21357339	0	Drosophila melanogaster	CG5792	protein	45550970	0	Drosophila melanogaster	14605208
31545	CG13073	protein	24665081	0	Drosophila melanogaster	stc	protein	17136256	0	Drosophila melanogaster	14605208
31546	CG13074	protein	24665016	0	Drosophila melanogaster	RpL19	protein	17136322	0	Drosophila melanogaster	14605208
31547	CG13074	protein	24665016	0	Drosophila melanogaster	CG40199	protein	30923794	0	Drosophila melanogaster	14605208
31548	CG13074	protein	24665016	0	Drosophila melanogaster	Cdlc2	protein	24580844	0	Drosophila melanogaster	14605208
31549	CG13074	protein	24665016	0	Drosophila melanogaster	ctp	protein	24639738	0	Drosophila melanogaster	14605208
31550	CG13074	protein	24665016	0	Drosophila melanogaster	Pvf1	protein	17737367	0	Drosophila melanogaster	14605208
31551	CG13074	protein	24665016	0	Drosophila melanogaster	BcDNA:RE63504	not specified	0	0	Drosophila melanogaster	14605208
31552	CG13075	protein	24664998	0	Drosophila melanogaster	CG13482	protein	24664154	0	Drosophila melanogaster	14605208
31553	CG13075	protein	24664998	0	Drosophila melanogaster	CG15781	protein	24639885	0	Drosophila melanogaster	14605208
31554	CG13077	protein	19921552	0	Drosophila melanogaster	CG13671	protein	21356055	0	Drosophila melanogaster	14605208
31555	CG13081	protein	24585277	0	Drosophila melanogaster	glob1	protein	24647280	0	Drosophila melanogaster	14605208
31556	CG13083	protein	24585242	0	Drosophila melanogaster	CG13434	protein	19922640	0	Drosophila melanogaster	14605208
31557	CG13083	protein	24585242	0	Drosophila melanogaster	CG13502	protein	24657597	0	Drosophila melanogaster	14605208
31558	CG13083	protein	24585242	0	Drosophila melanogaster	tll	protein	17864126	0	Drosophila melanogaster	14605208
31559	CG13083	protein	24585242	0	Drosophila melanogaster	CG13949	protein	20129131	0	Drosophila melanogaster	14605208
31560	CG13083	protein	24585242	0	Drosophila melanogaster	CG14410	protein	45549457	0	Drosophila melanogaster	14605208
31561	CG13083	protein	24585242	0	Drosophila melanogaster	Es2	protein	18858195	0	Drosophila melanogaster	14605208
31562	CG13083	protein	24585242	0	Drosophila melanogaster	CG14750	protein	19921830	0	Drosophila melanogaster	14605208
31563	CG13083	protein	24585242	0	Drosophila melanogaster	CG15764	protein	24639988	0	Drosophila melanogaster	14605208
31564	CG13083	protein	24585242	0	Drosophila melanogaster	CG16969	protein	19921162	0	Drosophila melanogaster	14605208
