CG10002	FBan0010002	FBgn0000659	fkh	fork head	FBgn0015292
CG10005	FBan0010005	FBgn0037972	CG10005		FBgn0062992
CG10006	FBan0010006	FBgn0036461	CG10006		
CG10007	FBan0010007	FBgn0037971	CG10007		
CG10009	FBan0010009	FBgn0026400	Noa36		
CG12983	FBan0012983	FBgn0037040	CG12983		FBgn0045150
CG12984	FBan0012984	FBgn0037042	CG12984		
CG3231	FBan0003231	FBgn0027522	CG3231		
CG12985	FBan0012985	FBgn0030881	CG12985		
CG12986	FBan0012986	FBgn0030868	CG12986		
CG2503	FBan0002503	FBgn0037274	atms	antimeros	
CG2505	FBan0002505	FBgn0015570	&agr;-Est2	&agr;-Esterase-2	
CG3234	FBan0003234	FBgn0015535	tim	timeless	
CG2507	FBan0002507	FBgn0002306	sas	stranded at second	
CG2508	FBan0002508	FBgn0032863	CG2508		
CG3238	FBan0003238	FBgn0031540	CG3238		
CG3239	FBan0003239	FBgn0029769	CG3239		FBgn0043827
CG10011	FBan0010011	FBgn0039590	CG10011		
CG10013	FBan0010013	FBgn0038012	CG10013		
CG10014	FBan0010014	FBgn0038000	CG10014		
CG10016	FBan0010016	FBgn0024244	drm	drumstick	FBgn0031551
CG10017	FBan0010017	FBgn0031557	CG10017		
CG10018	FBan0010018	FBgn0037338	Snm1		
CG10019	FBan0010019	FBgn0031568	CG10019		FBgn0043805
CG12990	FBan0012990	FBgn0030859	CG12990		
CG12991	FBan0012991	FBgn0030847	CG12991		
CG12992	FBan0012992	FBgn0030846	CG12992		
CG12993	FBan0012993	FBgn0030840	CG12993		
CG12994	FBan0012994	FBgn0040877	CG12994		
CG3240	FBan0003240	FBgn0026778	Rad1		
CG12995	FBan0012995	FBgn0030826	CG12995		
CG3241	FBan0003241	FBgn0005616	msl-2	male-specific lethal 2	FBgn0001317,FBgn0002852
CG2512	FBan0002512	FBgn0003885	&agr;Tub84D	&agr;-Tubulin at 84D	
CG12996	FBan0012996	FBgn0030835	CG12996		
CG3242	FBan0003242	FBgn0004892	sob	sister of odd and bowl	
CG12997	FBan0012997	FBgn0030831	CG12997		
CG12998	FBan0012998	FBgn0030829	CG12998		FBgn0061372
CG3244	FBan0003244	FBgn0031629	CG3244		
CG3245	FBan0003245	FBgn0025573	PpN58A	Protein phosphatase N at 58A	
CG3246	FBan0003246	FBgn0031538	CG3246		
CG2519	FBan0002519	FBgn0037336	CG2519		
CG3248	FBan0003248	FBgn0031536	CG3248		
CG3249	FBan0003249	FBgn0029764	CG3249		FBgn0047280
CG10021	FBan0010021	FBgn0004893	bowl	brother of odd with entrails limited	FBgn0014041
